Id,IsDeleted,MasterRecordId,Name,Type,ParentId,BillingStreet,BillingCity,BillingState,BillingPostalCode,BillingCountry,BillingLatitude,BillingLongitude,BillingGeocodeAccuracy,BillingAddress,ShippingStreet,ShippingCity,ShippingState,ShippingPostalCode,ShippingCountry,ShippingLatitude,ShippingLongitude,ShippingGeocodeAccuracy,ShippingAddress,Phone,Fax,AccountNumber,Website,PhotoUrl,Sic,Industry,AnnualRevenue,NumberOfEmployees,Ownership,TickerSymbol,Description,Rating,Site,OwnerId,CreatedDate,CreatedById,LastModifiedDate,LastModifiedById,SystemModstamp,LastActivityDate,LastViewedDate,LastReferencedDate,Jigsaw,JigsawCompanyId,CleanStatus,AccountSource,DunsNumber,Tradestyle,NaicsCode,NaicsDesc,YearStarted,SicDesc,DandbCompanyId,OperatingHoursId
0010U000010rD34QAE,,,Angel Alson,Customer,,3604 84th St E,Tacoma,WA,98446,USA,,,,"{""city"":""Tacoma"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""98446"",""state"":""WA"",""street"":""3604 84th St E""}",3604 84th St E,Tacoma,WA,98446,USA,,,,"{""city"":""Tacoma"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""98446"",""state"":""WA"",""street"":""3604 84th St E""}",(555) 549-8313,,,,/services/images/photo/0010U000010rD34QAE,,,,,,,,,,0050U000002zM7qQAE,2020-04-14T22:33:28.000+0000,0050U000002zM7qQAE,2020-04-14T22:33:28.000+0000,0050U000002zM7qQAE,2020-04-14T22:33:28.000+0000,,,,,,Pending,,,,,,,,,
0010U000010rD35QAE,,,Gisele Samms,Customer,,30208 Lookout Road,Paola,KS,66071,USA,,,,"{""city"":""Paola"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""66071"",""state"":""KS"",""street"":""30208 Lookout Road""}",30208 Lookout Road,Paola,KS,66071,USA,,,,"{""city"":""Paola"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""66071"",""state"":""KS"",""street"":""30208 Lookout Road""}",(555) 306-7935,,,,/services/images/photo/0010U000010rD35QAE,,,,,,,,,,0050U000002zM7qQAE,2020-04-14T22:33:28.000+0000,0050U000002zM7qQAE,2020-04-14T22:33:28.000+0000,0050U000002zM7qQAE,2020-04-14T22:33:28.000+0000,,,,,,Pending,,,,,,,,,
0010U000010rD36QAE,,,Raymonde Derobertis,Customer,,300 Spectrum Center Drive,Irvine,CA,92618,USA,,,,"{""city"":""Irvine"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""92618"",""state"":""CA"",""street"":""300 Spectrum Center Drive""}",300 Spectrum Center Drive,Irvine,CA,92618,USA,,,,"{""city"":""Irvine"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""92618"",""state"":""CA"",""street"":""300 Spectrum Center Drive""}",(555) 493-3635,,,,/services/images/photo/0010U000010rD36QAE,,,,,,,,,,0050U000002zM7qQAE,2020-04-14T22:33:28.000+0000,0050U000002zM7qQAE,2020-04-14T22:33:28.000+0000,0050U000002zM7qQAE,2020-04-14T22:33:28.000+0000,,,,,,Pending,,,,,,,,,
0010U000010rD6MQAU,,,Laurette Condron,Customer,,818 Sparta Hwy,Milledgeville,GA,31061,USA,,,,"{""city"":""Milledgeville"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""31061"",""state"":""GA"",""street"":""818 Sparta Hwy""}",818 Sparta Hwy,Milledgeville,GA,31061,USA,,,,"{""city"":""Milledgeville"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""31061"",""state"":""GA"",""street"":""818 Sparta Hwy""}",(555) 433-2680,,,,/services/images/photo/0010U000010rD6MQAU,,,,,,,,,,0050U000002zM7qQAE,2020-04-14T22:33:27.000+0000,0050U000002zM7qQAE,2020-04-14T22:33:27.000+0000,0050U000002zM7qQAE,2020-04-14T22:33:27.000+0000,,,,,,Pending,,,,,,,,,
0010U000010rD6NQAU,,,Arvilla Steinger,Customer,,22655 Fairfield Rd,St Augusta,MN,56301,USA,,,,"{""city"":""St Augusta"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""56301"",""state"":""MN"",""street"":""22655 Fairfield Rd""}",22655 Fairfield Rd,St Augusta,MN,56301,USA,,,,"{""city"":""St Augusta"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""56301"",""state"":""MN"",""street"":""22655 Fairfield Rd""}",(555) 777-4317,,,,/services/images/photo/0010U000010rD6NQAU,,,,,,,,,,0050U000002zM7qQAE,2020-04-14T22:33:27.000+0000,0050U000002zM7qQAE,2020-04-14T22:33:27.000+0000,0050U000002zM7qQAE,2020-04-14T22:33:27.000+0000,,,,,,Pending,,,,,,,,,
0010U000010rD6OQAU,,,Josephine Gustafson,Customer,,174 Unnamed Road,Youngstown,FL,32466,USA,,,,"{""city"":""Youngstown"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""32466"",""state"":""FL"",""street"":""174 Unnamed Road""}",174 Unnamed Road,Youngstown,FL,32466,USA,,,,"{""city"":""Youngstown"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""32466"",""state"":""FL"",""street"":""174 Unnamed Road""}",(555) 313-5644,,,,/services/images/photo/0010U000010rD6OQAU,,,,,,,,,,0050U000002zM7qQAE,2020-04-14T22:33:27.000+0000,0050U000002zM7qQAE,2020-04-14T22:33:27.000+0000,0050U000002zM7qQAE,2020-04-14T22:33:27.000+0000,,,,,,Pending,,,,,,,,,
0010U000010rD6PQAU,,,Nerissa Fetner,Customer,,87 Arizona 87,Coolidge,AZ,85128,USA,,,,"{""city"":""Coolidge"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""85128"",""state"":""AZ"",""street"":""87 Arizona 87""}",87 Arizona 87,Coolidge,AZ,85128,USA,,,,"{""city"":""Coolidge"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""85128"",""state"":""AZ"",""street"":""87 Arizona 87""}",(555) 928-1614,,,,/services/images/photo/0010U000010rD6PQAU,,,,,,,,,,0050U000002zM7qQAE,2020-04-14T22:33:27.000+0000,0050U000002zM7qQAE,2020-04-14T22:33:27.000+0000,0050U000002zM7qQAE,2020-04-14T22:33:27.000+0000,,,,,,Pending,,,,,,,,,
0010U000010rD6QQAU,,,Eusebia Libbee,Customer,,900 Bulldog Run,Rolla,MO,65401,USA,,,,"{""city"":""Rolla"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""65401"",""state"":""MO"",""street"":""900 Bulldog Run""}",900 Bulldog Run,Rolla,MO,65401,USA,,,,"{""city"":""Rolla"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""65401"",""state"":""MO"",""street"":""900 Bulldog Run""}",(555) 242-5686,,,,/services/images/photo/0010U000010rD6QQAU,,,,,,,,,,0050U000002zM7qQAE,2020-04-14T22:33:27.000+0000,0050U000002zM7qQAE,2020-04-14T22:33:27.000+0000,0050U000002zM7qQAE,2020-04-14T22:33:27.000+0000,,,,,,Pending,,,,,,,,,
0010U000010rD6RQAU,,,Breanne Dellamonica,Customer,,22655 Fairfield Rd,St Augusta,MN,56301,USA,,,,"{""city"":""St Augusta"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""56301"",""state"":""MN"",""street"":""22655 Fairfield Rd""}",22655 Fairfield Rd,St Augusta,MN,56301,USA,,,,"{""city"":""St Augusta"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""56301"",""state"":""MN"",""street"":""22655 Fairfield Rd""}",(555) 798-3310,,,,/services/images/photo/0010U000010rD6RQAU,,,,,,,,,,0050U000002zM7qQAE,2020-04-14T22:33:27.000+0000,0050U000002zM7qQAE,2020-04-14T22:33:27.000+0000,0050U000002zM7qQAE,2020-04-14T22:33:27.000+0000,,,,,,Pending,,,,,,,,,
0010U000010rD6SQAU,,,Ginger Orland,Customer,,6010 London Dr,Sunset Valley,TX,78745,USA,,,,"{""city"":""Sunset Valley"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""78745"",""state"":""TX"",""street"":""6010 London Dr""}",6010 London Dr,Sunset Valley,TX,78745,USA,,,,"{""city"":""Sunset Valley"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""78745"",""state"":""TX"",""street"":""6010 London Dr""}",(555) 913-1611,,,,/services/images/photo/0010U000010rD6SQAU,,,,,,,,,,0050U000002zM7qQAE,2020-04-14T22:33:27.000+0000,0050U000002zM7qQAE,2020-04-14T22:33:27.000+0000,0050U000002zM7qQAE,2020-04-14T22:33:27.000+0000,,,,,,Pending,,,,,,,,,
