Id,IsDeleted,MasterRecordId,AccountId,LastName,FirstName,Salutation,Name,OtherStreet,OtherCity,OtherState,OtherPostalCode,OtherCountry,OtherLatitude,OtherLongitude,OtherGeocodeAccuracy,OtherAddress,MailingStreet,MailingCity,MailingState,MailingPostalCode,MailingCountry,MailingLatitude,MailingLongitude,MailingGeocodeAccuracy,MailingAddress,Phone,Fax,MobilePhone,HomePhone,OtherPhone,AssistantPhone,ReportsToId,Email,Title,Department,AssistantName,LeadSource,Birthdate,Description,OwnerId,CreatedDate,CreatedById,LastModifiedDate,LastModifiedById,SystemModstamp,LastActivityDate,LastCURequestDate,LastCUUpdateDate,LastViewedDate,LastReferencedDate,EmailBouncedReason,EmailBouncedDate,IsEmailBounced,PhotoUrl,Jigsaw,JigsawContactId,CleanStatus,IndividualId,Employee_ID__c,Member_ID__c,Passport_ID__c,SSN__c
0030U00000p33HwQAI,,,0010U000010rDCoQAM,Cocuzzo,Abbie,,Abbie Cocuzzo,84 Ocean Drive,Forest Home,AL,36030,USA,,,,"{""city"":""Forest Home"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""36030"",""state"":""AL"",""street"":""84 Ocean Drive""}",84 Ocean Drive,Forest Home,AL,36030,USA,,,,"{""city"":""Forest Home"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""36030"",""state"":""AL"",""street"":""84 Ocean Drive""}",(555) 746-8408,,(555) 876-4718,(555) 612-6575,,,,abbie.cocuzzo@example.com,,,,Other,1946-02-03,,0050U000002zM7qQAE,2020-04-14T22:33:35.000+0000,0050U000002zM7qQAE,2020-04-14T22:33:35.000+0000,0050U000002zM7qQAE,2020-04-14T22:33:35.000+0000,,,,,,,,,/services/images/photo/0030U00000p33HwQAI,,,Pending,,000337353470,000521245988,000472542031,000-14-1755
0030U00000p33HxQAI,,,0010U000010rDCpQAM,Hormander,Hattie,,Hattie Hormander,145 County Road 88,Guffey,CO,80820,USA,,,,"{""city"":""Guffey"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""80820"",""state"":""CO"",""street"":""145 County Road 88""}",145 County Road 88,Guffey,CO,80820,USA,,,,"{""city"":""Guffey"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""80820"",""state"":""CO"",""street"":""145 County Road 88""}",(555) 222-5642,,(555) 937-5883,(555) 600-3803,,,,hattie.hormander@example.com,,,,Web,1986-08-25,,0050U000002zM7qQAE,2020-04-14T22:33:35.000+0000,0050U000002zM7qQAE,2020-04-14T22:33:35.000+0000,0050U000002zM7qQAE,2020-04-14T22:33:36.000+0000,,,,,,,,,/services/images/photo/0030U00000p33HxQAI,,,Pending,,000336278725,000811073707,000300975393,000-48-7047
0030U00000p33HyQAI,,,0010U000010rDCqQAM,Jurkowski,Carlita,,Carlita Jurkowski,111 Monument Circle,Indianapolis,IN,46204,USA,,,,"{""city"":""Indianapolis"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""46204"",""state"":""IN"",""street"":""111 Monument Circle""}",111 Monument Circle,Indianapolis,IN,46204,USA,,,,"{""city"":""Indianapolis"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""46204"",""state"":""IN"",""street"":""111 Monument Circle""}",(555) 752-4801,,(555) 349-9393,(555) 688-2903,,,,carlita.jurkowski@example.com,,,,Partner Referral,2000-05-09,,0050U000002zM7qQAE,2020-04-14T22:33:35.000+0000,0050U000002zM7qQAE,2020-04-14T22:33:35.000+0000,0050U000002zM7qQAE,2020-04-14T22:33:36.000+0000,,,,,,,,,/services/images/photo/0030U00000p33HyQAI,,,Pending,,000505189257,000680871578,000864897031,000-66-3084
0030U00000p33HzQAI,,,0010U000010rDCrQAM,Hickam,Jackelyn,,Jackelyn Hickam,87 Arizona 87,Coolidge,AZ,85128,USA,,,,"{""city"":""Coolidge"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""85128"",""state"":""AZ"",""street"":""87 Arizona 87""}",87 Arizona 87,Coolidge,AZ,85128,USA,,,,"{""city"":""Coolidge"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""85128"",""state"":""AZ"",""street"":""87 Arizona 87""}",(555) 524-3652,,(555) 631-4058,(555) 314-9944,,,,jackelyn.hickam@example.com,,,,Partner Referral,1996-03-21,,0050U000002zM7qQAE,2020-04-14T22:33:35.000+0000,0050U000002zM7qQAE,2020-04-14T22:33:35.000+0000,0050U000002zM7qQAE,2020-04-14T22:33:36.000+0000,,,,,,,,,/services/images/photo/0030U00000p33HzQAI,,,Pending,,000624052617,000193650260,000308369929,000-85-7311
0030U00000p33IBQAY,,,0010U000010rDBCQA2,Newnam,Chet,,Chet Newnam,112 N El Rancho Rd,Santa Fe,NM,87501,USA,,,,"{""city"":""Santa Fe"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""87501"",""state"":""NM"",""street"":""112 N El Rancho Rd""}",112 N El Rancho Rd,Santa Fe,NM,87501,USA,,,,"{""city"":""Santa Fe"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""87501"",""state"":""NM"",""street"":""112 N El Rancho Rd""}",(555) 400-7490,,(555) 705-9923,(555) 831-8024,,,,chet.newnam@example.com,,,,Other,1961-09-12,,0050U000002zM7qQAE,2020-04-14T22:33:34.000+0000,0050U000002zM7qQAE,2020-04-14T22:33:34.000+0000,0050U000002zM7qQAE,2020-04-14T22:33:34.000+0000,,,,,,,,,/services/images/photo/0030U00000p33IBQAY,,,Pending,,000532695138,000897275592,000986970743,000-80-4969
0030U00000p33ICQAY,,,0010U000010rDBDQA2,Konakowitz,Cherly,,Cherly Konakowitz,1442 2nd Street,Santa Monica,CA,90401,USA,,,,"{""city"":""Santa Monica"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""90401"",""state"":""CA"",""street"":""1442 2nd Street""}",1442 2nd Street,Santa Monica,CA,90401,USA,,,,"{""city"":""Santa Monica"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""90401"",""state"":""CA"",""street"":""1442 2nd Street""}",(555) 738-6505,,(555) 697-4193,(555) 147-2023,,,,cherly.konakowitz@example.com,,,,Web,1962-05-01,,0050U000002zM7qQAE,2020-04-14T22:33:34.000+0000,0050U000002zM7qQAE,2020-04-14T22:33:34.000+0000,0050U000002zM7qQAE,2020-04-14T22:33:34.000+0000,,,,,,,,,/services/images/photo/0030U00000p33ICQAY,,,Pending,,000473976282,000796020685,000957324152,000-83-6280
0030U00000p33IDQAY,,,0010U000010rDBEQA2,Thingvold,Saundra,,Saundra Thingvold,4561 Springdale Rd,Millbrook,AL,36054,USA,,,,"{""city"":""Millbrook"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""36054"",""state"":""AL"",""street"":""4561 Springdale Rd""}",4561 Springdale Rd,Millbrook,AL,36054,USA,,,,"{""city"":""Millbrook"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""36054"",""state"":""AL"",""street"":""4561 Springdale Rd""}",(555) 420-5679,,(555) 152-1547,(555) 981-5732,,,,saundra.thingvold@example.com,,,,Other,1972-10-10,,0050U000002zM7qQAE,2020-04-14T22:33:34.000+0000,0050U000002zM7qQAE,2020-04-14T22:33:34.000+0000,0050U000002zM7qQAE,2020-04-14T22:33:34.000+0000,,,,,,,,,/services/images/photo/0030U00000p33IDQAY,,,Pending,,000704361466,000420613343,000217208537,000-20-3727
0030U00000p33IEQAY,,,0010U000010rDBFQA2,Valasek,Hermina,,Hermina Valasek,14878 Lost River Court,Hughesville,MD,20637,USA,,,,"{""city"":""Hughesville"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""20637"",""state"":""MD"",""street"":""14878 Lost River Court""}",14878 Lost River Court,Hughesville,MD,20637,USA,,,,"{""city"":""Hughesville"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""20637"",""state"":""MD"",""street"":""14878 Lost River Court""}",(555) 491-1471,,(555) 719-6041,(555) 334-3921,,,,hermina.valasek@example.com,,,,Phone Inquiry,1946-08-07,,0050U000002zM7qQAE,2020-04-14T22:33:34.000+0000,0050U000002zM7qQAE,2020-04-14T22:33:34.000+0000,0050U000002zM7qQAE,2020-04-14T22:33:34.000+0000,,,,,,,,,/services/images/photo/0030U00000p33IEQAY,,,Pending,,000644846650,000705460277,000888529322,000-88-1964
0030U00000p33JVQAY,,,0010U000010rD34QAE,Alson,Angel,,Angel Alson,3604 84th St E,Tacoma,WA,98446,USA,,,,"{""city"":""Tacoma"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""98446"",""state"":""WA"",""street"":""3604 84th St E""}",3604 84th St E,Tacoma,WA,98446,USA,,,,"{""city"":""Tacoma"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""98446"",""state"":""WA"",""street"":""3604 84th St E""}",(555) 549-8313,,(555) 127-5758,(555) 268-3090,,,,angel.alson@example.com,,,,Partner Referral,1956-11-19,,0050U000002zM7qQAE,2020-04-14T22:33:31.000+0000,0050U000002zM7qQAE,2020-04-14T22:33:31.000+0000,0050U000002zM7qQAE,2020-04-14T22:33:31.000+0000,,,,,,,,,/services/images/photo/0030U00000p33JVQAY,,,Pending,,000429519309,000905980871,000333077428,000-83-2223
0030U00000p33JWQAY,,,0010U000010rD35QAE,Samms,Gisele,,Gisele Samms,30208 Lookout Road,Paola,KS,66071,USA,,,,"{""city"":""Paola"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""66071"",""state"":""KS"",""street"":""30208 Lookout Road""}",30208 Lookout Road,Paola,KS,66071,USA,,,,"{""city"":""Paola"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""66071"",""state"":""KS"",""street"":""30208 Lookout Road""}",(555) 306-7935,,(555) 971-6729,(555) 398-6745,,,,gisele.samms@example.com,,,,Other,1964-06-07,,0050U000002zM7qQAE,2020-04-14T22:33:31.000+0000,0050U000002zM7qQAE,2020-04-14T22:33:31.000+0000,0050U000002zM7qQAE,2020-04-14T22:33:31.000+0000,,,,,,,,,/services/images/photo/0030U00000p33JWQAY,,,Pending,,000687411164,000454380977,000312302201,000-66-9602
